0,1,2,3,4,5,6,7,8,9,10
72,72177,0.0,"[95,5]","[34,59]","[75,25]","[38,-13]",problem11540,1304.0,Thank you .,3.0
73,72177,0.0,[100],[15],"[10,90]","[-7,10]",problem3092,2789.0,,0.0
74,72177,1.0,"[75,25]","[13,-43]",[100],[-1],problem1490,1321.0,,0.0
75,72177,1.0,"[75,12.5,12.5]","[-22,57.5,58.5]",[100],[-6],problem6934,1037.0,Thank you .,3.0
76,72177,0.0,[100],[3],"[95,0.625,1.875,1.875,0.625]","[7,51.5,52.5,53.5,54.5]",problem7873,1254.0,Thanks .,2.0
77,72177,1.0,"[95,2.5,1.25,0.625,0.625]","[8,24,26,30,38]",[100],[7],problem14406,1288.0,Three,1.0
78,72177,1.0,"[20,80]","[86,-26]","[1,99]","[-35,-6]",problem11710,1154.0,,0.0
79,72177,1.0,"[99,1]","[7,20]",[100],[7],problem8062,1271.0,,0.0
80,72177,1.0,"[1,49.5,49.5]","[-31,-16.5,-15.5]","[40,60]","[40,-37]",problem10183,1322.0,,0.0
81,72177,1.0,"[90,10]","[-6,67]","[10,90]","[57,1]",problem5984,1204.0,,0.0
18,72185,1.0,"[25,75]","[1000,0]",[100],[240],practice_problem_a,26598.0," Okay . $ 1000 , no , 25 to 75 , that is like a 1 in 4 chance . That is literally horrible , 1 in 4 . So , only maybe when $ 250 really max . So , I am going to do the 240 because even though I am losing $ 10 , I have 100 % of doing it .",65.0
19,72185,0.0,"[80,20]","[-500,0]",[100],[-400],practice_problem_b,29506.0," Okay , $ 500 with an 80 % chance or zero . So I do not actually lose anything . I could do 400 with a 100 % chance . Let us see . That is a , what , 4 out of 5 chance . Honestly , I am going to go with the $ 500 . As well .",61.0
21,72185,1.0,[100],[-2],"[25,75]","[-23,-2]",problem6688,12897.0,I would rather have the possibility of winning rather than having to give him a lot .,17.0
22,72185,1.0,[100],[17],"[10,11.25,33.75,33.75,11.25]","[4,15.5,16.5,17.5,18.5]",problem11970,19705.0," $ 17 for the 100 % chance . $ 4 for the ... Okay , the max I could win . I mean ... I would ... I feel like I would go for it . Like , it is , you know , even up to about $ 17 is the biggest chance you would get . So I feel like that is , like , winning $ 4 would be such a ...",75.0
23,72185,1.0,[100],[12],"[40,60]","[15,27]",problem5528,13170.0,chance . Win $ 12 with a hundred percent chance . Win f - oh ! Why would I choose $ 12 ? There is ... I would win more . I am not losing anything . I would win more on both of them .,46.0
24,72185,0.0,"[90,5,5]","[25,67.5,68.5]",[100],[30],problem4708,8661.0,$ 25 or the 90 % again why would I choose oh because I have a 30 nah I feel like it is not worth the fuck .,28.0
25,72185,1.0,[100],[29],"[40,60]","[11,51]",problem6266,9574.0,dollars more 29 with 100 % okay this one no this one still is in the majority and you in it,21.0
26,72185,1.0,"[60,40]","[-33,91]",[100],[16],problem12636,30285.0," I am going to go with that . Lose $ 33 with a 60 % chance for win . So that is what I ... Two thirds chance . Not a two thirds . I do not know , man . I would not like to lose any .",49.0
27,72185,0.0,"[1,99]","[23,15]","[1,49.5,49.5]","[-23,14.5,15.5]",problem4854,8754.0," thing . When $ 23 is a 1 % chance . Lose $ 23 % chance . Well , I am not going to choose one where I would possibly .",31.0
28,72185,1.0,[100],[13],"[20,2.5,12.5,25,25,12.5,2.5]","[-34,23.5,24.5,25.5,26.5,27.5,28.5]",problem5429,8974.0,lose and also not win much anymore . $ 13 is a 100 % chance . I mean this one I have a higher chance of winning more .,29.0
29,72185,0.0,"[60,40]","[19,-14]","[80,20]","[-13,67]",problem14300,9545.0,overall lose win $ 19 with the 60 % chance to lose . This one you get a bigger oh no I am going to go with this one .,30.0
30,72185,1.0,[100],[10],"[75,25]","[5,40]",problem12529,6382.0," stupid difference . When $ 10 is 100 % chance , when five , we will never go laid .",20.0
31,72185,0.0,"[95,2.5,1.25,0.625,0.3125,0.3125]","[16,114,112,108,100,84]",[100],[12],problem10627,4968.0," Like I would rather go big , go win 95 . Dude I am not losing anyway would I choose ?",21.0
32,72185,0.0,"[60,20,20]","[-46,40.5,41.5]",[100],[-8],problem4284,8251.0,the other lose 46 with a 60 % lose $ 8 with 100 % oh I guess all are risk,20.0
33,72185,0.0,"[99,1]","[13,20]","[40,60]","[38,1]",problem2090,11305.0," good . $ 13 . 99 chance . $ 138 . Oh , I will go with that one .",20.0
34,72185,0.0,"[60,40]","[-42,81]",[100],[16],problem13299,6873.0," I am going to lose 42 with a 60 % win . 81 with a 40 %. Yeah , no . I do not want to lose anything . I am a broke college kid . I do not want to lose anything .",44.0
35,72185,0.0,"[25,75]","[5,1]","[20,80]","[0,1]",problem11425,5638.0," Switch , okay . Win $ 5 with it . Lose $ 0 . I will go for the win .",21.0
36,72185,0.0,"[20,80]","[2,11]",[100],[-2],problem10394,5885.0,5 because it is not like a bunch of a difference when $ 2 with an 80 20 % chance when I live I would like to choose one without practice industriel,32.0
37,72185,1.0,"[10,45,45]","[0,7,9]",[100],[9],problem11297,5779.0,lose . Lose zero with a 10 . 9 with a 100 . I will go with the 9 with the 100 .,23.0
38,72185,1.0,"[50,50]","[76,-46]","[75,25]","[18,30]",problem13206,6081.0,Way in 76 with 50 or 40 lose 46 . No,11.0
39,72185,1.0,[100],[24],"[40,60]","[-19,41]",problem12418,7832.0," they are not lose . Win 24 with 100 . Why are they sharing ? Win 24 dollars with 100 % chance . Lose 19 . Oh , I lost .",31.0
40,72185,1.0,"[40,60]","[-18,17]",[100],[8],problem6482,6027.0,win more lose $ 18 with 40 chance win 17 i would rather just win,15.0
41,72185,0.0,[100],[9],"[90,10]","[-6,63]",problem9974,11618.0,money lose six dollars or win do I feel like risking it what I feel like risking it now I,20.0
42,72185,0.0,[100],[-6],"[50,50]","[-41,20]",problem14301,651.0,I would not feel like risking it .,8.0
43,72185,0.0,"[40,60]","[9,20]",[100],[16],problem4575,5456.0,win $ 9 or $ 20 or $ 16 . I will go with that .,16.0
44,72185,0.0,"[60,40]","[-3,85]",[100],[30],problem13109,6234.0,because 9 bucks is almost 10 and that is a decent amount . Loose $ 3 with a 60 % chance win 85 .,24.0
45,72185,0.0,"[75,25]","[-11,64]","[25,75]","[32,5]",problem12214,6146.0," Oh , where is the other one ? When , why would I choose to win ? Why , Lies ? Why would you ?",25.0
46,72185,0.0,"[99,1]","[1,25]","[99,1]","[2,2]",problem1494,9520.0," choose that . Win $ 1 with 99 % chance , win $ 25 with 1 % chance , win $ 2 or $ 2 . I mean , I might as well ... nah , I will go with the $ 2 .",44.0
47,72185,1.0,"[1,49.5,24.75,12.375,6.1875,6.1875]","[-43,9,7,3,-5,-21]",[100],[5],problem14360,11904.0," Keep forgetting . Lose 43 . Okay , this one . I have such a large chance losing logistics .",20.0
48,72185,0.0,"[90,10]","[-5,77]",[100],[-2],problem12841,4441.0,5 lose $ 5 with 90 % chance win 77 . I am not going to .,17.0
49,72185,0.0,[100],[1],"[90,10]","[-11,-2]",problem383,5515.0," choose the option where I only lose . Win $ 1 with a 100 % chance . We will lose $ 11 . Again , I am not going to choose .",32.0
50,72185,0.0,"[5,2.96875,14.84375,29.6875,29.6875,14.84375,2.96875]","[-29,6.5,7.5,8.5,9.5,10.5,11.5]","[1,99]","[20,13]",problem13010,13571.0," choose one that I already automatically lose . Loose 29 , win , win , win , win , win , win . Yeah , we will go with this one .",32.0
51,72185,1.0,"[75,25]","[-43,91]","[20,80]","[5,1]",problem1665,6763.0,Who is 43 ? failed again AAAHHHHHHH Uh ...... there .,11.0
52,72185,1.0,"[60,40]","[-23,6]","[40,60]","[31,-29]",problem1454,8276.0,not lose that is not good odds lose 23 with 60 % chance win $ 6 . 40 oh by Darler,21.0
53,72185,0.0,"[60,20,10,5,2.5,1.25,1.25]","[-26,29,31,35,43,59,91]",[100],[5],problem4111,11652.0," We can answer 1 - 5 with 100 % chance . There is 26 , 60 % but then win for everything else . Okay , I could win anything 40 . Yeah , that is ...",37.0
54,72185,1.0,[100],[25],"[1,99]","[3,31]",problem3014,5714.0,worth it . When $ 25 with a 100 % chance . When $ 3 or 31 .,18.0
55,72185,1.0,"[40,60]","[82,-30]","[5,47.5,23.75,11.875,5.9375,5.9375]","[1,4,6,10,18,34]",problem5059,12144.0," zero to 99 percent chance . Win 82 with 40 , lose 30 with 60 . Win 1 , win win , win win win . I would rather go with an optional option .",35.0
56,72185,0.0,"[99,0.5,0.25,0.125,0.0625,0.03125,0.03125]","[4,47,49,53,61,77,109]",[100],[-2],problem10361,2074.0,I can only win . I would choose the option where I can only win .,16.0
57,72185,1.0,[100],[-5],"[95,0.15625,0.78125,1.5625,1.5625,0.78125,0.15625]","[-3,28.5,29.5,30.5,31.5,32.5,33.5]",problem8764,4144.0," We lose too . We do not understand . We only lose . Like , I would rather pay lo -",21.0
58,72185,1.0,"[95,5]","[10,-17]","[20,80]","[-13,19]",problem8706,16100.0," And if I lose and I have a chance of winning , win $ 10 with a 95 % chance , lose 17 with a five , lose 13 with a 20 , win 19 with an 80 . Okay , knowing my luck , I would get the five and I would have to lose 17 . So I would rather go with the ...",66.0
59,72185,1.0,"[60,40]","[-24,34]","[10,90]","[46,0]",problem1188,6336.0," 80 - 28 chance . Lose 24 , 60 percent . Win 40 , lose 0 . I would rather ",20.0
60,72185,0.0,"[99,0.5,0.5]","[32,46,48]","[90,10]","[31,11]",problem2149,14337.0," just not lose like I would rather just like not lose anything and not get money . Win 32 with 99 , win win win , win 31 or less . Rather ...",33.0
61,72185,0.0,"[20,80]","[47,21]","[95,5]","[23,86]",problem7268,6002.0," Like I still would be learning more . 147 to 20 , 121 , 186 , 9 , I would rather go with 80 , 20 . You have a bigger chance to get bigger .",36.0
62,72185,1.0,"[80,0.15625,1.09375,3.28125,5.46875,5.46875,3.28125,1.09375,0.15625]","[7,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5]","[5,95]","[69,11]",problem4343,13245.0," even though it is less overall . Win $ 7 and an 80 % chance . 33 , okay . So ... Ooh . I would rather go $ 69 . 5 because although there were just less and they have a way like lower chance . End .",49.0
63,72185,0.0,[100],[4],"[95,0.15625,0.78125,1.5625,1.5625,0.78125,0.15625]","[-3,8.5,9.5,10.5,11.5,12.5,13.5]",problem10270,6180.0,I would most likely get $ 11 . Win 4 with 100 %. Lose 3 with a 95 % chance . I would most likely get $ 11 .,29.0
64,72185,1.0,[100],[0],"[90,10]","[2,28]",problem7350,3785.0,for lose zero with a hundred percent chance .,9.0
65,72185,0.0,"[90,10]","[24,61]","[75,25]","[39,-14]",problem3301,4490.0," to win something . Win 24 . Win 39 . I would rather not . Oh , actually , yeah .",21.0
66,72185,0.0,[100],[-4],"[99,0.03125,0.15625,0.3125,0.3125,0.15625,0.03125]","[-12,12.5,13.5,14.5,15.5,16.5,17.5]",problem2198,4105.0," I do not know at least . Okay , lose 12 with a 99 % chance , lose four , I would rather just .",25.0
67,72185,0.0,[100],[12],"[60,20,10,5,2.5,2.5]","[-21,39,37,33,25,9]",problem4734,4830.0,lose for . Win 12 with 100 % chance . Lose 21 . I would rather just ...,18.0
68,72185,0.0,"[40,60]","[40,17]","[40,60]","[-23,67]",problem2923,5520.0," win . Win 40 with 40 , when 17 with 17 .",12.0
69,72185,1.0,[100],[22],"[99,1]","[21,70]",problem9207,4810.0," Again , I would rather just not lose money . I will go with this one .",17.0
70,72185,0.0,"[80,20]","[14,22]",[100],[17],problem2408,5443.0,One dollar  s not the end . When ... I mean ...,12.0
71,72185,0.0,"[80,2.5,7.5,7.5,2.5]","[5,58.5,59.5,60.5,61.5]","[1,99]","[92,9]",problem3915,5658.0,It is worth it . The odds are worth it . I will insist it out . I would rather go with this one . Where I have it .,30.0
72,72185,1.0,"[60,20,10,10]","[-22,71,73,77]","[80,20]","[20,-7]",problem2411,6260.0," percent chance of winning a lot more . Choose 22 , lose 22 , win 22 , lose 7 , rather just win .",24.0
73,72185,0.0,"[20,40,40]","[1,39,41]","[90,10]","[29,-11]",problem7720,6695.0,When $ 1 the 20 % chance went $ 39 at $ 40 and $ 141 . I will .,20.0
74,72185,1.0,[100],[26],"[60,40]","[12,43]",problem6863,4605.0,better odds there . Win 26 with 100 % chance .,11.0
75,72185,1.0,"[40,60]","[2,29]",[100],[29],problem4225,5603.0," Sure . Win two with a 40 , win 29 with 60 , win 29 with 100 %. Why would I choose to possibly only get two dollars ?",29.0
76,72185,1.0,"[10,45,22.5,11.25,5.625,5.625]","[-30,-4,-2,2,10,26]",[100],[0],problem9597,6386.0," if I could just take the 29 and the same amount . Lose 30 . Oh , yeah , no , I would rather ...",25.0
77,72185,0.0,"[25,75]","[-8,8]",[100],[-7],problem6987,4094.0," they are just like walk away , not do anything . you know it might as well ",17.0
78,72185,0.0,"[20,10,30,30,10]","[12,18.5,19.5,20.5,21.5]","[20,80]","[45,11]",problem12872,7589.0," Try and not lose money . I am in 45 with a 20 % chance . I am in 11 . Win , win , win .",27.0
79,72185,0.0,"[1,49.5,49.5]","[-26,-5,-7]","[5,95]","[27,-2]",problem8775,2944.0,Lose .,2.0
80,72185,1.0,"[99,1]","[-8,43]","[1,99]","[40,-3]",problem12286,5148.0," I get more there . Lose 8 dollars with a 99 . No , I would rather when lose the ",20.0
81,72185,0.0,"[60,40]","[25,-30]","[95,5]","[2,17]",problem2177,5288.0," 3 dollars . Win 25 , lose 30 , win or win , win 2 . 3 dollars . Win 25 , lose 30 , win 2 .",28.0
82,72185,1.0,"[90,0.3125,1.5625,3.125,3.125,1.5625,0.3125]","[23,24.5,25.5,26.5,27.5,28.5,29.5]","[25,75]","[33,29]",problem4650,13278.0,whisk it . Wisk ! Wisk . Win $ 23 with a 90 % chance . What is happening out there ? Win $ 23 with a 90 % chance . Win $ 23 .,35.0
83,72185,1.0,"[75,0.19531,1.36719,4.10156,6.83594,6.83594,4.10156,1.36719,0.19531]","[-15,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5]","[75,25]","[8,-12]",problem1913,4770.0,When eight with a lose 12 with a 25 . No I would rather,14.0
84,72185,1.0,"[5,95]","[-3,-2]","[10,90]","[71,-6]",problem556,9026.0,choose the odd that I have loose three with a 5 % chance loose $ 2 . 95 I rather add a 5 % chance loose $ 2 . 95,30.0
85,72185,1.0,"[95,5]","[-5,-22]","[90,10]","[-20,93]",problem1497,8913.0," I am going to lose $ 6 with a big cheats . Lose or lose , lose or win . ooooo loader declaration ..",24.0
86,72185,1.0,"[10,90]","[18,18]","[80,20]","[-1,54]",problem13217,10458.0," get stuck losing $ 22 . Win 18 with a 10 %, win 18 with a 90 % chance . Either way , I would be winning 18 . This time I could lose $ 1 or I could win $ 50 .",43.0
87,72185,1.0,[100],[18],"[90,1.25,3.75,3.75,1.25]","[13,55.5,56.5,57.5,58.5]",problem10027,9619.0,54 . Why are you guys choosing the good Jewish numbers ? Like it . Win 13 with a 90 % chance . 18 with 100 % chance . I would rather risk it .,35.0
88,72185,1.0,"[60,40]","[-4,17]",[100],[10],problem14037,8537.0," 13 to 18 is not a whole deal - breaking distance . Lose 4 with a 60 , win 17 , win ... oh , I dropped .",28.0
89,72185,0.0,"[95,5]","[3,113]","[40,60]","[27,-15]",problem1372,10265.0," They are just for 10 . Win three , which one am I going to choose ? Three or 113 ? Oh , I would rather not .",28.0
90,72185,0.0,"[20,80]","[98,-33]","[75,25]","[-6,-6]",problem2468,4247.0,anything lose lose I would actually still lose six to oh,11.0
91,72185,0.0,"[75,12.5,6.25,6.25]","[9,18,20,24]",[100],[3],problem346,8108.0," That is why , because it is already , oops , I made the choice before I finished thinking it through . Okay , win $ 3 , win $ 9 . I am going to choose this one because no matter what , I am winning more .",49.0
92,72185,0.0,[100],[21],"[50,50]","[-26,57]",problem359,5365.0,When $ 21 lose $ 26 . 99 .,9.0
93,72185,0.0,"[80,0.625,3.125,6.25,6.25,3.125,0.625]","[-2,47.5,48.5,49.5,50.5,51.5,52.5]",[100],[10],problem3881,4113.0,I would rather just win 20 . I would rather be able to win 20 .,16.0
94,72185,0.0,"[20,40,20,10,5,5]","[-36,44,46,50,58,74]",[100],[29],problem12437,11921.0,I did not see that was loose . That is fine . Lose $ 36 with a 20 % chance win $ 129 with $ 100 . We are going to choose this one because I f -,38.0
95,72185,1.0,"[90,5,2.5,1.25,1.25]","[-12,23,25,29,37]",[100],[-7],problem13221,8474.0," I feel like it . Lose 12 with a 90 % chance . Lose seven with 100 %. Oh , I got that just lose seven .",27.0
96,72185,1.0,"[60,20,20]","[-15,6,8]","[50,50]","[22,-36]",problem5153,11813.0,I guess I would prefer to get something out of it though lose 15 with 60 % win or lose with a 50 50 rather do a 50,28.0
97,72185,0.0,"[10,90]","[30,16]","[50,50]","[-31,61]",problem4797,15150.0," 50 than a 6040 , win with a 10 %, win or lose . Ooh . Mm , mm , mm . I would rather just take this .",29.0
98,72185,0.0,"[60,40]","[-17,10]","[5,95]","[-1,-6]",problem5530,12715.0,lose 17 with a 60 % chance win $ 10 with a 40 % chance lose $ 1 or lose . I would rather risk it so I am going to choose this one .,35.0
99,72185,0.0,"[50,25,25]","[-43,49.5,50.5]",[100],[9],problem8431,6120.0," Continue . Lose $ 43 . 50 %. Okay , win $ 9 . 00 with 100 %. I would rather $ 55 . 00 .",26.0
100,72185,1.0,"[1,99]","[22,5]","[95,5]","[1,43]",problem2733,13406.0,$ 122 with 1 % chance when $ 5 with a 99 % chance or when $ 1 with a 95 % chance when $ 43 with a 95 % chance .,32.0
101,72185,1.0,"[95,0.625,1.875,1.875,0.625]","[-12,43.5,44.5,45.5,46.5]",[100],[-8],problem4204,10410.0,Continue and then I am going to read I Would rather Just lose eight dollars and say,17.0
102,72185,0.0,"[75,25]","[16,-21]","[25,75]","[-12,-6]",problem13639,14056.0,Give that four and then hit continue . Win $ 16 with a 75 % chance . Lose $ 21 with a 25 % chance . Lose or lose . I would rather have the opportunity to ...,38.0
18,72206,0.0,"[25,75]","[1000,0]",[100],[240],practice_problem_a,1387.0,,0.0
19,72206,1.0,"[80,20]","[-500,0]",[100],[-400],practice_problem_b,649.0,,0.0
21,72206,1.0,[100],[19],"[50,50]","[11,27]",problem4809,747.0,,0.0
22,72206,0.0,"[95,2.5,1.25,0.625,0.3125,0.15625,0.07812,0.07812]","[1,90,92,96,104,120,152,216]","[20,80]","[23,2]",problem3624,474.0,Thank you .,3.0
23,72206,1.0,"[80,20]","[-25,16]",[100],[-7],problem378,592.0,,0.0
24,72206,0.0,"[10,90]","[53,26]","[60,40]","[9,45]",problem14556,517.0,,0.0
25,72206,1.0,"[25,75]","[48,24]","[99,1]","[36,96]",problem3053,487.0,Thank you .,3.0
26,72206,1.0,"[40,60]","[-7,21]","[40,60]","[15,15]",problem1137,957.0,,0.0
27,72206,0.0,[100],[19],"[60,20,10,5,2.5,2.5]","[17,49,51,55,63,79]",problem12406,964.0,Bye bye .,3.0
28,72206,1.0,"[50,50]","[32,26]","[25,75]","[-14,50]",problem9449,903.0,,0.0
29,72206,0.0,[100],[28],"[25,75]","[61,17]",problem11322,613.0,,0.0
30,72206,0.0,"[99,0.03125,0.15625,0.3125,0.3125,0.15625,0.03125]","[-17,22.5,23.5,24.5,25.5,26.5,27.5]","[20,80]","[-1,-5]",problem14095,685.0,Thank you .,3.0
31,72206,1.0,[100],[22],"[80,20]","[3,105]",problem4348,549.0,,0.0
32,72206,0.0,"[5,95]","[40,5]","[20,10,30,30,10]","[-4,5.5,6.5,7.5,8.5]",problem8787,492.0,,0.0
33,72206,1.0,[100],[-8],"[95,5]","[-6,24]",problem50,566.0,You,1.0
34,72206,0.0,"[5,47.5,47.5]","[-28,17.5,18.5]",[100],[19],problem13199,530.0,,0.0
35,72206,1.0,"[25,37.5,37.5]","[3,10.5,11.5]",[100],[8],problem1998,437.0,,0.0
36,72206,1.0,"[20,80]","[-14,6]",[100],[-5],problem123,467.0,,0.0
37,72206,0.0,"[1,49.5,49.5]","[9,21,23]","[50,50]","[35,19]",problem8033,477.0,Thanks for watching . I hope you enjoyed this video . I will see you in the next video .,20.0
38,72206,1.0,"[1,99]","[36,-3]","[75,25]","[-12,5]",problem12205,415.0,,0.0
39,72206,0.0,"[75,12.5,6.25,3.125,1.5625,0.78125,0.39062,0.39062]","[-4,72,74,78,86,102,134,198]","[60,40]","[31,26]",problem11509,438.0,,0.0
40,72206,1.0,[100],[1],"[25,75]","[-28,9]",problem12444,462.0,,0.0
41,72206,0.0,[100],[8],"[50,25,25]","[-17,37.5,38.5]",problem5913,467.0,,0.0
42,72206,1.0,"[80,20]","[13,97]","[25,75]","[42,26]",problem61,358.0,,0.0
43,72206,0.0,[100],[13],"[99,1]","[12,88]",problem1626,366.0,,0.0
44,72206,1.0,"[1,99]","[-24,-2]",[100],[4],problem2587,774.0,,0.0
45,72206,0.0,"[95,0.15625,0.78125,1.5625,1.5625,0.78125,0.15625]","[4,66.5,67.5,68.5,69.5,70.5,71.5]","[95,5]","[17,-29]",problem8880,375.0,,0.0
46,72206,1.0,"[40,30,15,7.5,3.75,3.75]","[-30,67,65,61,53,37]",[100],[18],problem3743,471.0,,0.0
47,72206,0.0,[100],[8],"[75,25]","[-18,107]",problem12886,542.0,You,1.0
48,72206,1.0,"[20,80]","[58,10]","[1,99]","[-2,18]",problem5547,497.0,Thank you .,3.0
49,72206,0.0,"[40,60]","[43,3]","[50,50]","[-8,26]",problem1790,436.0,,0.0
